Model,Test_AUC,CV_AUC_Mean,CV_AUC_Std
Logistic Regression,0.7835129168855042,0.7880079092677518,0.011834647204177293
Gradient Boosting,0.7800641741071429,0.7839850146936761,0.010494489883802634
Random Forest,0.7706575794380253,0.7771349094183739,0.011501358634284678
XGBoost,0.7698143710609243,0.7660664211845314,0.009344881447817583
Naive Bayes,0.7640821953781513,0.7700261826246078,0.008737267808430902
SVM,0.7549853925945378,0.7479731700204141,0.005743639894866017
Decision Tree,0.7522259880514706,0.7494499085050267,0.0103661758020996
K-Nearest Neighbors,0.7383663914784664,0.740357134845324,0.0065775052160257025
